year,month,north_co2_anomaly,norm_north_co2,south_co2_anomaly,norm_south_co2,msl_mm_north,msl_mm_south,norm_msl_north,norm_msl_south,north_land_ocean_anomaly,south_land_ocean_anomaly,north_land_anomaly,south_land_anomaly,norm_north_land_ocean,norm_south_land_ocean,norm_north_land,norm_south_land
1993,1,1.892182219998917,0.3270302244076376,-0.3881993405736526,0.0351347041938648,1.2874163955478752,-5.0141678605271,0.0160841935965032,0.001480788386873183,0.36,0.31,0.59,0.3,0.215962441314554,0.202020202020202,0.2724719101123596,0.325077399380805
1993,2,0.9503605740138052,0.255823290565539,-0.456466122250216,0.0096184018856107,0.4763945520832,-5.174543143290125,0.008377592552330558,0.0,0.53,0.27,1.01,-0.06,0.29577464788732394,0.1616161616161616,0.3904494382022472,0.21362229102167185
1993,3,0.5244596994758428,0.2236228250890892,-0.4541635287415673,0.0104790499287258,1.8665479422501,-3.570054157477,0.021587295416131413,0.014814681016455049,0.4,0.34,0.78,0.25,0.23474178403755872,0.23232323232323232,0.3258426966292135,0.30959752321981426
1993,4,-1.0673941149977448,0.1032698583286449,-0.4821993704955947,0.0,3.477122519136225,-2.9237799250731,0.036891514181589535,0.020781905900436423,0.29,0.34,0.42,0.32,0.18309859154929578,0.23232323232323232,0.22471910112359553,0.3312693498452013
1993,5,-1.8657760272695665,0.042907762967793,-0.3859413023182432,0.0359786986716125,3.6835660295242496,-1.485372146247975,0.03885320952375489,0.034063114187498966,0.32,0.29,0.4,-0.11,0.1971830985915493,0.18181818181818177,0.21910112359550565,0.19814241486068113
1993,6,-2.349428122733757,0.0063409852651117,-0.3109356980546569,0.0640137931377691,4.4226703318216405,-0.54570524559576,0.04587642601753563,0.04273931297600525,0.3,0.32,0.37,0.04,0.18779342723004697,0.2121212121212121,0.2106741573033708,0.24458204334365327
1993,7,-2.433297443561388,0.0,-0.2742028590165284,0.0777435487014344,4.80810670967215,0.4118268906466898,0.049538971503752534,0.05158046631944669,0.18,0.35,0.25,0.34,0.13145539906103287,0.24242424242424238,0.17696629213483148,0.33746130030959753
1993,8,-2.3859164516569784,0.0035822654642656,-0.3725109614698212,0.0409986018921107,5.016177291088675,-0.9857273136999,0.051516127819488736,0.038676470141431295,0.1,0.26,0.12,-0.04,0.09389671361502348,0.1515151515151515,0.1404494382022472,0.21981424148606812
1993,9,-1.9259571356391727,0.0383577377900042,-0.450480252418354,0.0118557603849653,-0.2887133689759861,-1.56100909320034,0.0011072809684276926,0.03336473778724593,0.06,0.33,0.02,0.17,0.07511737089201878,0.2222222222222222,0.11235955056179776,0.2848297213622291
1993,10,-0.6856704062111305,0.1321302853462234,-0.4465649863248933,0.0133191824301311,1.733339674368675,-2.02139798789255,0.02032150586358143,0.02911384253106759,0.17,0.34,0.28,0.35,0.1267605633802817,0.23232323232323232,0.1853932584269663,0.3405572755417957
1993,11,0.4633360093149488,0.2190015355062625,-0.3958801880720175,0.0322638082480088,2.8682371861367253,-1.72845020951655,0.031105681924557694,0.03181870864700431,-0.1,0.25,-0.38,0.11,0.0,0.14141414141414138,0.0,0.26625386996904027
1993,12,1.407954417751693,0.2904199200829184,-0.3954682199876274,0.0324177909307206,6.21377502315706,-1.96687289015956,0.06289610236250363,0.029617287514141697,0.25,0.16,0.37,-0.18,0.1643192488262911,0.05050505050505051,0.2106741573033708,0.17647058823529413
1994,1,1.8993953115581248,0.3275755740878484,-0.3077301841090887,0.0652119287592191,7.997415539145575,-1.3261956507692,0.07984485161471096,0.03553283384695813,0.27,0.2,0.38,0.04,0.17370892018779344,0.0909090909090909,0.21348314606741575,0.24458204334365327
1994,2,1.1795823660032134,0.2731537278589871,-0.3458118585484846,0.0509780144961459,2.7340995751927752,-1.9045791260470504,0.02983106144313228,0.030192462696271998,-0.01,0.13,-0.28,-0.27,0.04225352112676057,0.020202020202020207,0.028089887640449437,0.14860681114551083
1994,3,0.5601331901638744,0.2263199386053988,-0.38485800656197,0.0363836057336925,2.65093020134786,-0.2515688534092227,0.029040758212114156,0.04545515388492003,0.42,0.19,0.67,-0.21,0.24413145539906103,0.08080808080808079,0.2949438202247191,0.1671826625386997
1994,4,-0.9198980941491346,0.1144213745879196,-0.3786366006982646,0.0387090013199788,4.2003302836793255,0.0225715316287716,0.04376367645230202,0.04798636624846758,0.47,0.32,0.7,0.48,0.2676056338028169,0.2121212121212121,0.30337078651685395,0.38080495356037153
1994,5,-1.6478876114034815,0.0593813342428593,-0.3740626986229807,0.0404186039292573,3.687797178958274,0.373504156724175,0.038893415322043885,0.051226622146155074,0.4,0.26,0.61,-0.13,0.23474178403755872,0.1515151515151515,0.27808988764044945,0.19195046439628483
