# Title: Global Land Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-1.23
185002,-0.51
185003,-0.43
185004,-0.93
185005,-0.78
185006,-0.28
185007,-0.01
185008,0.17
185009,-0.18
185010,-0.97
185011,-0.59
185012,-0.09
185101,-0.52
185102,-0.14
185103,-0.64
185104,-0.71
185105,-0.54
185106,-0.28
185107,0.11
185108,0.12
185109,-0.12
185110,0.09
185111,-0.59
185112,-0.30
185201,0.04
185202,-0.51
185203,-0.99
185204,-0.70
185205,-0.34
185206,0.15
185207,0.01
185208,0.14
185209,0.04
185210,-0.22
185211,-0.35
185212,-0.22
185301,-0.60
185302,-0.80
185303,-0.81
185304,-0.82
185305,-0.26
185306,-0.14
185307,0.19
185308,-0.05
185309,-0.19
185310,-0.34
185311,-0.44
185312,-0.13
185401,-0.67
185402,-0.45
185403,-0.14
185404,-0.35
185405,-0.34
185406,-0.09
185407,0.06
185408,-0.06
185409,-0.20
185410,0.04
185411,0.05
185412,0.06
185501,-0.18
185502,-0.26
185503,-0.16
185504,-0.21
185505,-0.21
185506,-0.09
185507,-0.28
185508,-0.27
185509,-0.34
185510,-0.24
185511,-0.51
185512,-0.58
185601,0.41
185602,-0.04
185603,-0.28
185604,-0.55
185605,-0.56
185606,-0.11
185607,-0.21
185608,-0.62
185609,-0.39
185610,-0.85
185611,-0.16
185612,0.20
185701,-0.02
185702,-0.61
185703,0.01
185704,-0.42
185705,-0.64
185706,-0.29
185707,-0.27
185708,-0.28
185709,-0.51
185710,-0.54
185711,-0.34
185712,0.29
185801,-0.16
185802,-0.36
185803,-0.19
185804,-0.29
185805,-0.76
185806,-0.27
185807,-0.26
185808,-0.30
185809,-0.55
185810,-0.28
185811,-0.54
185812,-0.58
185901,-0.42
185902,-0.22
185903,-0.06
185904,-0.08
185905,0.00
185906,-0.09
185907,-0.49
185908,-0.11
185909,-0.54
185910,-0.48
185911,-0.32
185912,0.12
186001,-0.63
186002,-0.76
186003,-0.82
186004,-0.52
186005,-0.69
186006,-0.33
186007,-0.44
186008,-0.30
186009,-0.55
186010,-0.70
186011,-0.61
186012,-1.13
186101,-1.26
186102,-0.99
186103,-0.29
186104,-0.70
186105,-0.82
186106,-0.44
186107,-0.36
186108,-0.43
186109,-0.55
186110,-0.84
186111,-0.31
186112,-0.58
186201,-0.99
186202,-1.05
186203,-0.83
186204,-0.89
186205,-0.82
186206,-0.42
186207,-0.53
186208,-0.53
186209,-0.68
186210,-0.99
186211,-0.64
186212,-1.25
186301,-0.20
186302,-0.66
186303,-0.31
186304,-0.28
186305,-0.60
186306,-0.35
186307,-0.57
186308,-0.61
186309,-0.85
186310,-0.83
186311,-0.43
186312,-0.75
186401,-0.87
186402,-0.49
186403,-0.43
186404,-0.54
186405,-0.33
186406,-0.20
186407,-0.34
186408,-0.65
186409,-0.72
186410,-0.88
186411,-0.80
186412,-1.21
186501,0.28
186502,-0.79
186503,-0.84
186504,-0.90
186505,-0.73
186506,-0.23
186507,-0.26
186508,-0.21
186509,-0.22
186510,-0.44
186511,-0.30
186512,-0.36
186601,-0.26
186602,-0.34
186603,-0.76
186604,-0.65
186605,-0.55
186606,-0.61
186607,-0.29
186608,-0.63
186609,-0.28
186610,-0.75
186611,-0.65
186612,-0.07
186701,-0.49
186702,-1.05
186703,-0.89
186704,-1.21
186705,-1.12
186706,-0.39
186707,-0.46
186708,-0.30
186709,-0.39
186710,-0.49
186711,-0.12
186712,-0.14
186801,-0.65
186802,-0.60
186803,-0.34
186804,-0.68
186805,-0.57
186806,-0.36
186807,-0.34
186808,-0.12
186809,-0.25
186810,-0.31
186811,-1.13
186812,-0.34
186901,-0.06
186902,0.32
186903,-0.20
186904,-0.53
186905,-0.26
186906,-0.30
186907,-0.27
186908,-0.24
186909,-0.32
186910,-0.59
186911,-0.13
186912,-0.41
187001,-0.82
187002,-1.07
187003,-0.59
187004,-0.73
187005,-0.40
187006,0.02
187007,-0.10
187008,-0.15
187009,-0.28
187010,-0.68
187011,-0.71
187012,-0.98
187101,-0.97
187102,-0.97
187103,-0.19
187104,-0.25
187105,-0.63
187106,-0.17
187107,-0.25
187108,-0.23
187109,-0.55
187110,-0.77
187111,-0.97
187112,-0.59
187201,-0.87
187202,-0.80
187203,-0.39
187204,-0.86
187205,-0.49
187206,-0.42
187207,-0.37
187208,-0.14
187209,-0.34
187210,-0.57
187211,-0.83
187212,-0.83
187301,-0.66
187302,-0.49
187303,-0.83
187304,-0.92
187305,-0.47
187306,-0.20
187307,-0.29
187308,-0.19
187309,-0.38
187310,-0.32
187311,-0.58
187312,-0.57
187401,-0.56
187402,-0.55
187403,-0.79
187404,-0.48
187405,-0.46
187406,-0.15
187407,-0.63
187408,-0.56
187409,-0.25
187410,-0.41
187411,-0.63
187412,-0.09
187501,-0.41
187502,-0.61
187503,-0.56
187504,-0.55
187505,-0.61
187506,-0.21
187507,-0.24
187508,-0.53
187509,-0.75
187510,-0.86
187511,-1.42
187512,-1.43
187601,-0.56
187602,-1.04
187603,-0.39
187604,-0.52
187605,-0.93
187606,-0.18
187607,-0.40
187608,-0.54
187609,-0.49
187610,-0.40
187611,-0.93
187612,-0.99
187701,-0.45
187702,-0.46
187703,0.08
187704,-0.35
187705,-0.28
187706,-0.11
187707,0.25
187708,-0.13
187709,-0.15
187710,-0.08
187711,0.07
187712,-0.43
187801,-0.40
187802,-0.10
187803,0.72
187804,0.00
187805,-0.36
187806,0.28
187807,0.32
187808,-0.09
187809,0.03
187810,-0.37
187811,-0.41
187812,-0.22
187901,-0.29
187902,-0.76
187903,-0.27
187904,-0.57
187905,-0.41
187906,-0.29
187907,-0.09
187908,-0.47
187909,-0.52
187910,-0.64
187911,-0.93
187912,-1.01
188001,-0.93
188002,-1.32
188003,-0.67
188004,-0.51
188005,-0.36
188006,-0.12
188007,-0.41
188008,-0.01
188009,-0.42
188010,-0.54
188011,-0.50
188012,-0.38
188101,-0.35
188102,-0.51
188103,-0.41
188104,-0.16
188105,-0.06
188106,-0.68
188107,-0.19
188108,-0.35
188109,-0.55
188110,-0.71
188111,-0.78
188112,-0.09
188201,-0.01
188202,-0.56
188203,-0.35
188204,-0.74
188205,-0.34
188206,-0.68
188207,-0.62
188208,-0.31
188209,-0.42
188210,-0.90
188211,-0.92
188212,-1.04
188301,-0.65
188302,-0.96
188303,-0.22
188304,-0.61
188305,-0.34
188306,0.21
188307,-0.23
188308,-0.64
188309,-0.65
188310,-0.79
188311,-0.80
188312,-0.64
188401,-0.69
188402,-0.58
188403,-1.09
188404,-0.98
188405,-0.78
188406,-0.47
188407,-0.59
188408,-0.57
188409,-0.81
188410,-0.90
188411,-0.84
188412,0.05
188501,-0.86
188502,-0.59
188503,-0.76
188504,-0.89
188505,-0.45
188506,-0.64
188507,-0.31
188508,-0.22
188509,-0.50
188510,-0.59
188511,-0.70
188512,-0.09
188601,-0.73
188602,-0.82
188603,-1.12
188604,-0.50
188605,-0.57
188606,-0.52
188607,-0.17
188608,-0.20
188609,-0.38
188610,-0.68
188611,-0.69
188612,-0.12
188701,-1.27
188702,-0.80
188703,-0.68
188704,-0.62
188705,-0.55
188706,-0.47
188707,-0.37
188708,-0.36
188709,-0.20
188710,-0.80
188711,-0.61
188712,-0.92
188801,-0.25
188802,-0.73
188803,-0.64
188804,-0.66
188805,-0.51
188806,-0.25
188807,0.08
188808,-0.14
188809,-0.48
188810,0.11
188811,0.02
188812,-0.29
188901,-0.23
188902,0.41
188903,0.00
188904,0.08
188905,0.16
188906,-0.03
188907,-0.15
188908,-0.11
188909,-0.15
188910,-0.36
188911,-0.78
188912,-0.55
189001,-0.63
189002,-0.58
189003,-0.61
189004,-0.71
189005,-0.47
189006,-0.50
189007,-0.29
189008,-0.35
189009,-0.50
189010,-0.18
189011,-0.87
189012,-0.72
189101,-0.54
189102,-1.31
189103,-0.40
189104,-0.55
189105,-0.33
189106,-0.19
189107,-0.22
189108,-0.39
189109,-0.48
189110,-0.48
189111,-0.95
189112,-0.38
189201,-0.49
189202,-0.26
189203,-0.48
189204,-0.61
189205,-0.82
189206,-0.31
189207,-0.48
189208,-0.46
189209,-0.41
189210,-0.57
189211,-0.94
189212,-0.57
189301,-1.31
189302,-1.11
189303,-0.75
189304,-0.63
189305,-0.62
189306,-0.24
189307,-0.26
189308,-0.37
189309,-0.52
189310,-0.47
189311,-0.64
189312,-0.81
189401,-1.15
189402,-0.86
189403,-0.45
189404,-0.70
189405,-0.25
189406,-0.72
189407,-0.25
189408,-0.12
189409,-0.61
189410,-0.66
189411,-0.69
189412,-0.55
189501,-0.90
189502,-0.95
189503,-0.39
189504,-0.29
189505,-0.54
189506,-0.30
189507,-0.10
189508,-0.18
189509,-0.44
189510,-0.58
189511,-0.42
189512,-0.57
189601,-0.37
189602,-0.44
189603,-0.61
189604,-1.02
189605,-0.69
189606,-0.12
189607,-0.27
189608,-0.17
189609,-0.32
189610,0.00
189611,-0.54
189612,-0.47
189701,-0.48
189702,-0.80
189703,-0.73
189704,-0.03
189705,-0.13
189706,-0.12
189707,-0.04
189708,-0.06
189709,-0.23
189710,-0.41
189711,-0.17
189712,-0.04
189801,-0.53
189802,-0.75
189803,-1.07
189804,-0.56
189805,-0.33
189806,-0.09
189807,-0.03
189808,0.01
189809,-0.09
189810,-0.54
189811,-0.84
189812,-0.43
189901,-0.63
189902,-0.72
189903,-0.36
189904,-0.31
189905,-0.46
189906,-0.41
189907,-0.13
189908,-0.08
189909,0.16
189910,-0.36
189911,0.00
189912,0.00
190001,-0.75
190002,0.04
190003,0.11
190004,-0.37
190005,-0.08
190006,0.02
190007,-0.16
190008,-0.11
190009,-0.35
190010,0.04
190011,-0.11
190012,0.02
190101,-0.59
190102,-0.26
190103,0.44
190104,0.25
190105,-0.20
190106,-0.06
190107,-0.04
190108,-0.01
190109,-0.10
190110,-0.34
190111,-0.23
190112,0.07
190201,-0.18
190202,0.20
190203,-0.48
190204,-0.50
190205,-0.26
190206,0.02
190207,-0.03
190208,-0.15
190209,-0.30
190210,-0.45
190211,-0.59
190212,-0.78
190301,-0.31
190302,-0.22
190303,-0.09
190304,-0.65
190305,-0.28
190306,-0.25
190307,-0.41
190308,-0.39
190309,-0.49
190310,-0.68
190311,-0.32
190312,-0.86
190401,-0.94
190402,-0.68
190403,-0.16
190404,-0.65
190405,-0.48
190406,-0.39
190407,-0.37
190408,-0.38
190409,-0.50
190410,-0.42
190411,0.03
190412,-0.10
190501,-0.24
190502,-0.94
190503,-0.24
190504,-0.41
190505,-0.10
190506,-0.06
190507,-0.08
190508,-0.39
190509,-0.49
190510,-0.56
190511,-0.15
190512,-0.45
190601,-0.77
190602,-0.47
190603,-0.29
190604,0.28
190605,0.09
190606,0.09
190607,-0.01
190608,-0.14
190609,-0.20
190610,0.09
190611,-0.26
190612,0.33
190701,-0.43
190702,-0.87
190703,-0.38
190704,-0.78
190705,-0.84
190706,-0.58
190707,-0.38
190708,-0.27
190709,-0.37
190710,-0.13
190711,-0.56
190712,-0.60
190801,-0.76
190802,-0.11
190803,-0.75
190804,-0.74
190805,-0.46
190806,-0.17
190807,-0.18
190808,-0.46
190809,-0.38
190810,-0.54
190811,-0.51
190812,-0.46
190901,-1.21
190902,-0.40
190903,-0.58
190904,-0.74
190905,-0.49
190906,-0.45
190907,-0.33
190908,-0.16
190909,-0.18
190910,-0.08
190911,0.12
190912,-0.33
191001,-0.21
191002,-0.30
191003,-0.41
191004,-0.28
191005,-0.24
191006,-0.27
191007,-0.06
191008,-0.10
191009,-0.21
191010,-0.39
191011,-0.18
191012,-0.74
191101,-0.83
191102,-0.80
191103,-0.92
191104,-0.12
191105,-0.44
191106,-0.44
191107,-0.30
191108,-0.35
191109,-0.35
191110,-0.13
191111,-0.08
191112,-0.23
191201,-0.51
191202,-0.34
191203,-0.93
191204,-0.41
191205,-0.17
191206,-0.12
191207,-0.60
191208,-0.71
191209,-0.71
191210,-1.07
191211,-0.17
191212,-0.37
191301,-0.58
191302,-0.60
191303,-0.69
191304,-0.49
191305,-0.59
191306,-0.41
191307,-0.34
191308,-0.06
191309,-0.20
191310,-0.45
191311,-0.24
191312,0.35
191401,0.10
191402,-0.06
191403,-0.37
191404,-0.23
191405,-0.10
191406,0.01
191407,-0.23
191408,-0.36
191409,-0.33
191410,-0.02
191411,0.14
191412,0.00
191501,-0.34
191502,-0.04
191503,-0.07
191504,0.30
191505,0.11
191506,-0.12
191507,0.03
191508,-0.11
191509,-0.20
191510,-0.33
191511,0.04
191512,-0.49
191601,-0.17
191602,-0.27
191603,-0.30
191604,-0.17
191605,-0.17
191606,-0.27
191607,-0.32
191608,-0.15
191609,-0.31
191610,-0.32
191611,-0.85
191612,-1.42
191701,-0.48
191702,-0.96
191703,-1.09
191704,-0.72
191705,-0.88
191706,-0.51
191707,-0.07
191708,-0.38
191709,-0.35
191710,-0.88
191711,-0.46
191712,-1.25
191801,-1.12
191802,-0.93
191803,-0.58
191804,-0.84
191805,-0.76
191806,-0.65
191807,-0.38
191808,-0.44
191809,-0.20
191810,-0.14
191811,-0.47
191812,-0.69
191901,-0.13
191902,-0.67
191903,-0.68
191904,0.07
191905,-0.15
191906,-0.35
191907,-0.17
191908,-0.31
191909,-0.13
191910,-0.29
191911,-0.33
191912,-0.39
192001,0.17
192002,-0.22
192003,-0.04
192004,-0.40
192005,-0.09
192006,-0.29
192007,-0.32
192008,-0.26
192009,-0.33
192010,-0.34
192011,-0.42
192012,-0.81
192101,0.09
192102,-0.34
192103,-0.32
192104,-0.27
192105,0.01
192106,-0.03
192107,0.02
192108,-0.19
192109,-0.24
192110,-0.10
192111,-0.03
192112,-0.13
192201,-0.19
192202,-0.92
192203,-0.19
192204,0.02
192205,-0.32
192206,-0.20
192207,-0.30
192208,-0.40
192209,-0.27
192210,-0.36
192211,0.27
192212,0.09
192301,-0.30
192302,-0.33
192303,-0.58
192304,-0.52
192305,-0.30
192306,-0.09
192307,-0.47
192308,-0.47
192309,-0.39
192310,-0.07
192311,0.19
192312,0.02
192401,-0.29
192402,-0.24
192403,0.07
192404,-0.37
192405,-0.20
192406,-0.17
192407,-0.37
192408,-0.40
192409,-0.18
192410,-0.20
192411,0.15
192412,-0.19
192501,-0.52
192502,-0.38
192503,-0.16
192504,0.12
192505,-0.17
192506,-0.36
192507,-0.34
192508,-0.36
192509,-0.35
192510,-0.13
192511,-0.02
192512,0.26
192601,0.61
192602,0.32
192603,0.56
192604,0.15
192605,-0.47
192606,-0.22
192607,-0.34
192608,-0.26
192609,-0.13
192610,0.30
192611,0.07
192612,-0.48
192701,-0.45
192702,-0.10
192703,-0.65
192704,-0.48
192705,-0.25
192706,-0.03
192707,-0.17
192708,0.07
192709,0.14
192710,0.29
192711,0.13
192712,-0.58
192801,0.06
192802,0.05
192803,-0.25
192804,-0.23
192805,-0.11
192806,-0.06
192807,-0.26
192808,-0.25
192809,0.15
192810,-0.10
192811,0.19
192812,0.23
192901,-0.45
192902,-0.68
192903,-0.28
192904,-0.56
192905,-0.43
192906,-0.64
192907,-0.63
192908,-0.19
192909,-0.21
192910,-0.04
192911,-0.16
192912,-0.90
193001,-0.35
193002,-0.18
193003,-0.04
193004,-0.02
193005,-0.17
193006,-0.05
193007,0.15
193008,-0.08
193009,-0.32
193010,-0.25
193011,0.51
193012,0.12
193101,0.06
193102,-0.38
193103,-0.10
193104,-0.22
193105,-0.25
193106,0.05
193107,0.15
193108,0.18
193109,0.26
193110,0.36
193111,0.29
193112,0.31
193201,0.69
193202,-0.39
193203,-0.11
193204,0.30
193205,-0.05
193206,0.06
193207,-0.14
193208,-0.35
193209,0.25
193210,0.26
193211,-0.36
193212,-0.14
193301,-0.08
193302,-0.50
193303,-0.22
193304,-0.23
193305,-0.21
193306,-0.25
193307,-0.28
193308,-0.24
193309,-0.45
193310,-0.07
193311,-0.29
193312,-0.45
193401,-0.24
193402,0.42
193403,-0.23
193404,-0.39
193405,0.27
193406,-0.09
193407,-0.06
193408,-0.06
193409,-0.05
193410,0.21
193411,0.42
193412,0.24
193501,-0.49
193502,0.81
193503,0.01
193504,-0.73
193505,-0.36
193506,-0.38
193507,0.10
193508,0.03
