# Title: Northern Hemisphere Land Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-1.60
185002,-0.58
185003,-0.48
185004,-1.14
185005,-1.02
185006,-0.37
185007,-0.08
185008,0.14
185009,-0.22
185010,-1.12
185011,-0.78
185012,-0.15
185101,-0.73
185102,-0.15
185103,-0.97
185104,-0.91
185105,-0.59
185106,-0.37
185107,0.02
185108,-0.11
185109,-0.20
185110,0.06
185111,-0.71
185112,-0.34
185201,0.11
185202,-0.51
185203,-1.31
185204,-0.83
185205,-0.34
185206,-0.01
185207,-0.12
185208,-0.09
185209,-0.11
185210,-0.37
185211,-0.71
185212,-0.34
185301,-0.77
185302,-1.03
185303,-1.05
185304,-0.96
185305,-0.35
185306,-0.24
185307,0.15
185308,-0.09
185309,-0.30
185310,-0.49
185311,-0.62
185312,0.00
185401,-0.96
185402,-0.48
185403,-0.10
185404,-0.37
185405,-0.39
185406,-0.19
185407,0.04
185408,-0.03
185409,-0.19
185410,0.11
185411,0.29
185412,0.18
185501,-0.10
185502,-0.15
185503,-0.14
185504,-0.09
185505,-0.25
185506,-0.22
185507,-0.35
185508,-0.34
185509,-0.47
185510,-0.38
185511,-0.70
185512,-0.67
185601,0.60
185602,0.00
185603,-0.33
185604,-0.60
185605,-0.56
185606,-0.19
185607,-0.17
185608,-0.77
185609,-0.51
185610,-0.97
185611,-0.12
185612,0.50
185701,0.08
185702,-0.69
185703,-0.02
185704,-0.67
185705,-0.73
185706,-0.42
185707,-0.36
185708,-0.42
185709,-0.60
185710,-0.70
185711,-0.42
185712,0.45
185801,-0.16
185802,-0.39
185803,-0.25
185804,-0.26
185805,-0.79
185806,-0.31
185807,-0.26
185808,-0.38
185809,-0.67
185810,-0.28
185811,-0.53
185812,-0.61
185901,-0.38
185902,-0.24
185903,0.10
185904,0.14
185905,0.09
185906,-0.02
185907,-0.50
185908,-0.11
185909,-0.53
185910,-0.57
185911,-0.15
185912,0.22
186001,-0.67
186002,-0.85
186003,-1.00
186004,-0.51
186005,-0.49
186006,-0.20
186007,-0.51
186008,-0.40
186009,-0.47
186010,-0.70
186011,-0.53
186012,-1.37
186101,-1.51
186102,-1.08
186103,-0.26
186104,-0.66
186105,-0.71
186106,-0.36
186107,-0.22
186108,-0.48
186109,-0.49
186110,-0.92
186111,-0.19
186112,-0.64
186201,-1.19
186202,-1.18
186203,-1.01
186204,-1.07
186205,-0.87
186206,-0.54
186207,-0.51
186208,-0.43
186209,-0.62
186210,-1.12
186211,-0.80
186212,-1.65
186301,-0.15
186302,-0.75
186303,-0.27
186304,-0.10
186305,-0.44
186306,-0.29
186307,-0.51
186308,-0.56
186309,-0.82
186310,-0.81
186311,-0.19
186312,-0.69
186401,-0.93
186402,-0.34
186403,-0.37
186404,-0.58
186405,-0.12
186406,0.03
186407,-0.21
186408,-0.69
186409,-0.79
186410,-0.91
186411,-0.86
186412,-1.51
186501,0.62
186502,-0.93
186503,-1.09
186504,-1.01
186505,-0.69
186506,-0.21
186507,-0.16
186508,-0.18
186509,-0.17
186510,-0.31
186511,-0.23
186512,-0.39
186601,-0.14
186602,-0.26
186603,-0.95
186604,-0.97
186605,-0.66
186606,-0.64
186607,-0.21
186608,-0.57
186609,-0.29
186610,-0.84
186611,-0.37
186612,0.30
186701,-0.51
186702,-1.19
186703,-0.97
186704,-1.40
186705,-1.50
186706,-0.40
186707,-0.46
186708,-0.27
186709,-0.43
186710,-0.61
186711,0.09
186712,0.06
186801,-0.71
186802,-0.57
186803,-0.34
186804,-0.68
186805,-0.41
186806,-0.34
186807,-0.23
186808,-0.17
186809,-0.35
186810,-0.50
186811,-1.23
186812,-0.40
186901,0.02
186902,0.44
186903,-0.30
186904,-0.67
186905,-0.26
186906,-0.24
186907,-0.15
186908,-0.08
186909,-0.23
186910,-0.62
186911,0.06
186912,-0.45
187001,-1.05
187002,-1.17
187003,-0.55
187004,-0.71
187005,-0.19
187006,0.18
187007,0.03
187008,-0.23
187009,-0.14
187010,-0.76
187011,-0.76
187012,-1.31
187101,-1.24
187102,-1.30
187103,-0.04
187104,-0.25
187105,-0.58
187106,-0.16
187107,-0.18
187108,-0.15
187109,-0.55
187110,-0.71
187111,-1.22
187112,-0.85
187201,-1.10
187202,-0.91
187203,-0.48
187204,-0.88
187205,-0.34
187206,-0.50
187207,-0.19
187208,-0.13
187209,-0.31
187210,-0.64
187211,-0.79
187212,-1.00
187301,-0.86
187302,-0.50
187303,-0.85
187304,-1.05
187305,-0.38
187306,-0.17
187307,-0.20
187308,-0.30
187309,-0.55
187310,-0.33
187311,-0.47
187312,-0.58
187401,-0.63
187402,-0.52
187403,-0.88
187404,-0.58
187405,-0.03
187406,-0.08
187407,-0.53
187408,-0.46
187409,-0.13
187410,-0.47
187411,-0.50
187412,0.17
187501,-0.46
187502,-0.71
187503,-0.61
187504,-0.69
187505,-0.56
187506,-0.07
187507,-0.14
187508,-0.47
187509,-0.83
187510,-0.95
187511,-1.49
187512,-1.61
187601,-0.58
187602,-1.09
187603,-0.54
187604,-0.62
187605,-1.00
187606,-0.01
187607,-0.35
187608,-0.38
187609,-0.55
187610,-0.40
187611,-0.79
187612,-1.06
187701,-0.52
187702,-0.51
187703,0.22
187704,-0.48
187705,-0.14
187706,-0.03
187707,0.26
187708,-0.04
187709,-0.12
187710,-0.12
187711,0.13
187712,-0.63
187801,-0.61
187802,-0.16
187803,0.92
187804,-0.03
187805,-0.39
187806,0.39
187807,0.29
187808,-0.06
187809,-0.07
187810,-0.53
187811,-0.40
187812,-0.04
187901,-0.17
187902,-0.79
187903,-0.03
187904,-0.46
187905,-0.25
187906,-0.22
187907,-0.08
187908,-0.61
187909,-0.48
187910,-0.58
187911,-0.90
187912,-1.27
188001,-1.15
188002,-1.60
188003,-0.76
188004,-0.59
188005,-0.28
188006,-0.03
188007,-0.33
188008,-0.24
188009,-0.42
188010,-0.53
188011,-0.46
188012,-0.39
188101,-0.37
188102,-0.47
188103,-0.45
188104,-0.09
188105,-0.15
188106,-0.73
188107,-0.06
188108,-0.37
188109,-0.67
188110,-0.95
188111,-0.99
188112,-0.17
188201,0.07
188202,-0.67
188203,-0.48
188204,-0.96
188205,-0.33
188206,-0.62
188207,-0.64
188208,-0.41
188209,-0.48
188210,-1.34
188211,-1.11
188212,-1.25
188301,-0.72
188302,-0.98
188303,-0.05
188304,-0.66
188305,-0.40
188306,0.05
188307,-0.37
188308,-0.68
188309,-0.71
188310,-0.96
188311,-0.93
188312,-0.65
188401,-0.72
188402,-0.59
188403,-1.30
188404,-1.32
188405,-0.92
188406,-0.60
188407,-0.60
188408,-1.03
188409,-1.05
188410,-0.98
188411,-0.92
188412,0.44
188501,-1.09
188502,-0.65
188503,-0.57
188504,-1.01
188505,-0.70
188506,-0.47
188507,-0.23
188508,-0.38
188509,-0.68
188510,-0.85
188511,-0.90
188512,-0.12
188601,-1.00
188602,-0.99
188603,-1.41
188604,-0.70
188605,-0.67
188606,-0.56
188607,-0.05
188608,-0.39
188609,-0.54
188610,-0.79
188611,-0.87
188612,0.11
188701,-1.68
188702,-0.81
188703,-0.76
188704,-0.60
188705,-0.39
188706,-0.39
188707,-0.35
188708,-0.60
188709,-0.17
188710,-0.95
188711,-0.63
188712,-1.11
188801,-0.26
188802,-0.88
188803,-0.77
188804,-0.87
188805,-0.68
188806,-0.31
188807,-0.01
188808,-0.30
188809,-0.58
188810,0.04
188811,-0.20
188812,-0.49
188901,-0.36
188902,0.47
188903,-0.21
188904,0.04
188905,0.02
188906,-0.07
188907,-0.04
188908,-0.04
188909,-0.28
188910,-0.65
188911,-1.12
188912,-0.86
189001,-0.70
189002,-0.60
189003,-0.69
189004,-0.72
189005,-0.68
189006,-0.44
189007,-0.21
189008,-0.45
189009,-0.61
189010,-0.12
189011,-1.15
189012,-0.96
189101,-0.54
189102,-1.49
189103,-0.46
189104,-0.61
189105,-0.56
189106,-0.29
189107,-0.12
189108,-0.30
189109,-0.38
189110,-0.52
189111,-1.28
189112,-0.44
189201,-0.63
189202,-0.32
189203,-0.63
189204,-0.75
189205,-0.86
189206,-0.29
189207,-0.43
189208,-0.49
189209,-0.34
189210,-0.67
189211,-1.28
189212,-0.58
189301,-1.67
189302,-1.46
189303,-0.89
189304,-0.58
189305,-0.66
189306,-0.22
189307,-0.19
189308,-0.35
189309,-0.53
189310,-0.57
189311,-0.77
189312,-1.03
189401,-1.41
189402,-0.94
189403,-0.50
189404,-0.76
189405,-0.19
189406,-0.68
189407,-0.18
189408,-0.10
189409,-0.51
189410,-0.87
189411,-0.91
189412,-0.61
189501,-1.18
189502,-0.99
189503,-0.48
189504,-0.34
189505,-0.62
189506,-0.43
189507,-0.10
189508,-0.36
189509,-0.50
189510,-0.75
189511,-0.56
189512,-0.87
189601,-0.55
189602,-0.59
189603,-0.87
189604,-1.43
189605,-0.81
189606,-0.12
189607,-0.19
189608,-0.21
189609,-0.35
189610,0.01
189611,-0.79
189612,-0.81
189701,-0.55
189702,-1.03
189703,-0.94
189704,-0.15
189705,-0.09
189706,-0.28
189707,0.08
189708,0.04
189709,-0.27
189710,-0.71
189711,-0.48
189712,-0.10
189801,-0.68
189802,-0.95
189803,-1.44
189804,-0.51
189805,-0.28
189806,-0.21
189807,-0.08
189808,0.04
189809,-0.23
189810,-0.71
189811,-1.26
189812,-0.65
189901,-0.58
189902,-0.80
189903,-0.52
189904,-0.46
189905,-0.60
189906,-0.50
189907,-0.21
189908,-0.17
189909,0.08
189910,-0.29
189911,-0.02
189912,-0.06
190001,-1.08
190002,-0.27
190003,0.16
190004,-0.40
190005,0.04
190006,-0.08
190007,-0.20
190008,-0.16
190009,-0.31
190010,-0.19
190011,-0.35
190012,-0.12
190101,-0.86
190102,-0.33
190103,0.83
190104,0.43
190105,-0.29
190106,-0.02
190107,-0.08
190108,-0.13
190109,-0.39
190110,-0.55
190111,-0.44
190112,-0.01
190201,-0.22
190202,0.24
190203,-0.68
190204,-0.75
190205,-0.56
190206,-0.27
190207,-0.21
190208,-0.13
190209,-0.55
190210,-0.61
190211,-1.00
190212,-1.16
190301,-0.48
190302,-0.26
190303,-0.25
190304,-0.79
190305,-0.41
190306,-0.56
190307,-0.37
190308,-0.44
190309,-0.48
190310,-0.91
190311,-0.29
190312,-1.00
190401,-0.95
190402,-0.67
190403,0.04
190404,-0.75
190405,-0.45
190406,-0.50
190407,-0.54
190408,-0.32
190409,-0.62
190410,-0.45
190411,0.09
190412,-0.14
190501,-0.30
190502,-1.14
190503,-0.32
190504,-0.47
190505,-0.26
190506,-0.32
190507,-0.21
190508,-0.30
190509,-0.39
190510,-0.47
190511,-0.22
190512,-0.79
190601,-1.13
190602,-0.75
190603,-0.41
190604,0.34
190605,-0.07
190606,-0.11
190607,-0.22
190608,-0.14
190609,-0.13
190610,0.14
190611,-0.30
190612,0.52
190701,-0.45
190702,-1.09
190703,-0.49
190704,-0.94
190705,-1.09
190706,-0.76
190707,-0.63
190708,-0.57
190709,-0.46
190710,-0.18
190711,-0.70
190712,-0.68
190801,-0.94
190802,0.11
190803,-0.95
190804,-0.90
190805,-0.35
190806,-0.06
190807,-0.28
190808,-0.36
190809,-0.12
190810,-0.60
190811,-0.66
190812,-0.65
190901,-1.50
190902,-0.42
190903,-0.76
190904,-0.96
190905,-0.63
190906,-0.62
190907,-0.33
190908,-0.21
190909,-0.18
190910,-0.25
190911,0.16
190912,-0.25
191001,-0.13
191002,-0.25
191003,-0.37
191004,-0.37
191005,-0.31
191006,-0.51
191007,-0.13
191008,-0.24
191009,-0.35
191010,-0.27
191011,-0.11
191012,-0.81
191101,-1.15
191102,-0.94
191103,-1.04
191104,0.02
191105,-0.37
191106,-0.28
191107,-0.32
191108,-0.50
191109,-0.33
191110,-0.11
191111,-0.20
191112,-0.42
191201,-0.79
191202,-0.60
191203,-1.57
191204,-0.48
191205,-0.19
191206,-0.04
191207,-0.81
191208,-0.91
191209,-0.91
191210,-1.48
191211,-0.30
191212,-0.49
191301,-0.77
191302,-0.83
191303,-0.81
191304,-0.62
191305,-0.60
191306,-0.54
191307,-0.56
191308,-0.30
191309,-0.19
191310,-0.72
191311,-0.41
191312,0.37
191401,0.07
191402,-0.16
191403,-0.56
191404,-0.47
191405,-0.23
191406,-0.19
191407,-0.35
191408,-0.31
191409,-0.27
191410,0.10
191411,-0.02
191412,0.06
191501,-0.37
191502,-0.14
191503,-0.14
191504,0.20
191505,0.19
191506,-0.23
191507,-0.14
191508,-0.25
191509,-0.39
191510,-0.59
191511,-0.07
191512,-0.67
191601,-0.17
191602,-0.36
191603,-0.35
191604,-0.30
191605,-0.27
191606,-0.49
191607,-0.30
191608,-0.46
191609,-0.42
191610,-0.34
191611,-0.99
191612,-1.82
191701,-0.58
191702,-1.04
191703,-1.15
191704,-0.90
191705,-0.78
191706,-0.32
191707,-0.18
191708,-0.40
191709,-0.35
191710,-1.11
191711,-0.37
191712,-1.76
191801,-1.27
191802,-1.01
191803,-0.43
191804,-0.91
191805,-1.01
191806,-0.72
191807,-0.46
191808,-0.52
191809,-0.14
191810,-0.20
191811,-0.71
191812,-1.06
191901,-0.22
191902,-0.85
191903,-0.93
191904,-0.26
191905,-0.20
191906,-0.46
191907,-0.15
191908,-0.04
191909,-0.03
191910,-0.02
191911,-0.38
191912,-0.61
192001,0.24
192002,-0.18
192003,0.26
192004,-0.29
192005,0.01
192006,-0.23
192007,-0.30
192008,-0.28
192009,-0.47
192010,-0.43
192011,-0.56
192012,-1.05
192101,0.19
192102,-0.37
192103,-0.34
192104,-0.24
192105,-0.12
192106,0.06
192107,0.04
192108,-0.30
192109,-0.31
192110,-0.01
192111,0.10
192112,-0.20
192201,-0.09
192202,-1.19
192203,-0.13
192204,-0.08
192205,-0.25
192206,-0.19
