# Title: Northern Hemisphere Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-0.75
185002,-0.29
185003,-0.26
185004,-0.61
185005,-0.50
185006,-0.17
185007,-0.07
185008,0.00
185009,-0.14
185010,-0.53
185011,-0.34
185012,-0.05
185101,-0.34
185102,-0.09
185103,-0.44
185104,-0.45
185105,-0.27
185106,-0.18
185107,0.05
185108,-0.04
185109,-0.04
185110,0.13
185111,-0.19
185112,-0.02
185201,0.11
185202,-0.20
185203,-0.59
185204,-0.41
185205,-0.09
185206,0.09
185207,0.08
185208,0.11
185209,0.06
185210,-0.02
185211,-0.14
185212,0.00
185301,-0.14
185302,-0.30
185303,-0.30
185304,-0.31
185305,-0.07
185306,0.01
185307,0.13
185308,0.00
185309,-0.12
185310,-0.17
185311,-0.23
185312,0.02
185401,-0.40
185402,-0.18
185403,0.05
185404,-0.08
185405,-0.11
185406,-0.10
185407,0.08
185408,0.03
185409,-0.01
185410,0.16
185411,0.19
185412,0.21
185501,0.01
185502,-0.01
185503,0.04
185504,0.06
185505,-0.05
185506,-0.06
185507,-0.16
185508,-0.18
185509,-0.17
185510,0.00
185511,-0.12
185512,-0.19
185601,0.36
185602,0.01
185603,-0.14
185604,-0.22
185605,-0.22
185606,-0.07
185607,-0.23
185608,-0.47
185609,-0.31
185610,-0.58
185611,-0.26
185612,-0.01
185701,-0.05
185702,-0.31
185703,-0.06
185704,-0.38
185705,-0.42
185706,-0.26
185707,-0.21
185708,-0.25
185709,-0.29
185710,-0.33
185711,-0.22
185712,0.20
185801,-0.10
185802,-0.24
185803,-0.14
185804,-0.17
185805,-0.51
185806,-0.32
185807,-0.28
185808,-0.34
185809,-0.43
185810,-0.18
185811,-0.18
185812,-0.24
185901,-0.15
185902,-0.03
185903,0.12
185904,0.10
185905,0.07
185906,0.01
185907,-0.18
185908,-0.02
185909,-0.20
185910,-0.22
185911,-0.06
185912,0.08
186001,-0.29
186002,-0.38
186003,-0.44
186004,-0.27
186005,-0.26
186006,-0.17
186007,-0.40
186008,-0.39
186009,-0.37
186010,-0.40
186011,-0.27
186012,-0.60
186101,-0.87
186102,-0.69
186103,-0.30
186104,-0.37
186105,-0.46
186106,-0.27
186107,-0.09
186108,-0.17
186109,-0.21
186110,-0.46
186111,-0.13
186112,-0.37
186201,-0.68
186202,-0.70
186203,-0.63
186204,-0.73
186205,-0.61
186206,-0.39
186207,-0.39
186208,-0.33
186209,-0.36
186210,-0.62
186211,-0.42
186212,-0.79
186301,-0.13
186302,-0.36
186303,-0.14
186304,-0.12
186305,-0.24
186306,-0.24
186307,-0.30
186308,-0.26
186309,-0.40
186310,-0.42
186311,-0.14
186312,-0.33
186401,-0.52
186402,-0.34
186403,-0.27
186404,-0.28
186405,-0.05
186406,0.07
186407,-0.03
186408,-0.26
186409,-0.39
186410,-0.43
186411,-0.31
186412,-0.53
186501,0.28
186502,-0.41
186503,-0.44
186504,-0.46
186505,-0.35
186506,-0.07
186507,-0.01
186508,0.01
186509,0.00
186510,-0.03
186511,-0.08
186512,-0.12
186601,0.09
186602,0.07
186603,-0.30
186604,-0.37
186605,-0.26
186606,-0.17
186607,-0.02
186608,-0.26
186609,-0.13
186610,-0.38
186611,-0.15
186612,0.16
186701,-0.23
186702,-0.51
186703,-0.45
186704,-0.70
186705,-0.65
186706,-0.20
186707,-0.24
186708,-0.07
186709,-0.11
186710,-0.23
186711,-0.01
186712,-0.23
186801,-0.55
186802,-0.33
186803,-0.17
186804,-0.34
186805,-0.10
186806,-0.03
186807,-0.07
186808,-0.08
186809,-0.22
186810,-0.21
186811,-0.50
186812,-0.13
186901,0.05
186902,0.24
186903,-0.08
186904,-0.28
186905,-0.05
186906,0.00
186907,-0.01
186908,-0.03
186909,-0.08
186910,-0.23
186911,0.11
186912,-0.13
187001,-0.33
187002,-0.42
187003,-0.15
187004,-0.27
187005,-0.08
187006,0.03
187007,0.04
187008,-0.07
187009,-0.04
187010,-0.34
187011,-0.31
187012,-0.58
187101,-0.60
187102,-0.60
187103,0.04
187104,0.02
187105,-0.14
187106,-0.01
187107,-0.04
187108,-0.08
187109,-0.29
187110,-0.40
187111,-0.57
187112,-0.41
187201,-0.47
187202,-0.42
187203,-0.25
187204,-0.40
187205,-0.18
187206,-0.22
187207,-0.07
187208,-0.03
187209,-0.15
187210,-0.35
187211,-0.45
187212,-0.51
187301,-0.34
187302,-0.28
187303,-0.48
187304,-0.56
187305,-0.18
187306,-0.10
187307,-0.07
187308,-0.09
187309,-0.23
187310,-0.11
