# Title: Southern Hemisphere Land Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-0.40
185002,-0.36
185003,-0.32
185004,-0.45
185005,-0.21
185006,-0.08
185007,0.13
185008,0.25
185009,-0.08
185010,-0.64
185011,-0.15
185012,0.05
185101,-0.02
185102,-0.11
185103,0.11
185104,-0.25
185105,-0.43
185106,-0.07
185107,0.32
185108,0.62
185109,0.07
185110,0.16
185111,-0.32
185112,-0.21
185201,-0.12
185202,-0.52
185203,-0.25
185204,-0.39
185205,-0.32
185206,0.52
185207,0.31
185208,0.67
185209,0.41
185210,0.12
185211,0.47
185212,0.05
185301,-0.21
185302,-0.28
185303,-0.29
185304,-0.49
185305,-0.04
185306,0.08
185307,0.30
185308,0.05
185309,0.06
185310,0.01
185311,-0.04
185312,-0.43
185401,-0.03
185402,-0.39
185403,-0.23
185404,-0.29
185405,-0.21
185406,0.13
185407,0.10
185408,-0.12
185409,-0.23
185410,-0.13
185411,-0.48
185412,-0.20
185501,-0.37
185502,-0.51
185503,-0.22
185504,-0.49
185505,-0.10
185506,0.22
185507,-0.13
185508,-0.13
185509,-0.04
185510,0.08
185511,-0.07
185512,-0.39
185601,-0.02
185602,-0.12
185603,-0.18
185604,-0.45
185605,-0.56
185606,0.08
185607,-0.29
185608,-0.27
185609,-0.12
185610,-0.58
185611,-0.25
185612,-0.48
185701,-0.23
185702,-0.43
185703,0.09
185704,0.17
185705,-0.44
185706,0.02
185707,-0.06
185708,0.01
185709,-0.30
185710,-0.16
185711,-0.16
185712,-0.06
185801,-0.16
185802,-0.29
185803,-0.05
185804,-0.36
185805,-0.69
185806,-0.17
185807,-0.25
185808,-0.11
185809,-0.28
185810,-0.26
185811,-0.55
185812,-0.50
185901,-0.53
185902,-0.18
185903,-0.41
185904,-0.56
185905,-0.19
185906,-0.26
185907,-0.46
185908,-0.11
185909,-0.57
185910,-0.25
185911,-0.71
185912,-0.11
186001,-0.53
186002,-0.57
186003,-0.41
186004,-0.56
186005,-1.15
186006,-0.61
186007,-0.27
186008,-0.08
186009,-0.73
186010,-0.72
186011,-0.79
186012,-0.61
186101,-0.69
186102,-0.80
186103,-0.34
186104,-0.81
186105,-1.06
186106,-0.63
186107,-0.70
186108,-0.32
186109,-0.69
186110,-0.65
186111,-0.57
186112,-0.43
186201,-0.53
186202,-0.77
186203,-0.41
186204,-0.48
186205,-0.70
186206,-0.14
186207,-0.58
186208,-0.78
186209,-0.82
186210,-0.70
186211,-0.27
186212,-0.35
186301,-0.31
186302,-0.46
186303,-0.39
186304,-0.68
186305,-0.98
186306,-0.48
186307,-0.70
186308,-0.72
186309,-0.90
186310,-0.86
186311,-1.00
186312,-0.89
186401,-0.72
186402,-0.84
186403,-0.55
186404,-0.45
186405,-0.80
186406,-0.72
186407,-0.65
186408,-0.55
186409,-0.56
186410,-0.80
186411,-0.65
186412,-0.54
186501,-0.49
186502,-0.47
186503,-0.28
186504,-0.65
186505,-0.83
186506,-0.29
186507,-0.48
186508,-0.27
186509,-0.34
186510,-0.71
186511,-0.45
186512,-0.29
186601,-0.52
186602,-0.51
186603,-0.33
186604,0.09
186605,-0.32
186606,-0.53
186607,-0.48
186608,-0.76
186609,-0.26
186610,-0.55
186611,-1.27
186612,-0.90
186701,-0.46
186702,-0.73
186703,-0.73
186704,-0.78
186705,-0.26
186706,-0.38
186707,-0.47
186708,-0.37
186709,-0.30
186710,-0.23
186711,-0.60
186712,-0.59
186801,-0.52
186802,-0.68
186803,-0.35
186804,-0.68
186805,-0.93
186806,-0.42
186807,-0.59
186808,0.02
186809,-0.04
186810,0.11
186811,-0.91
186812,-0.20
186901,-0.24
186902,0.07
186903,0.03
186904,-0.21
186905,-0.28
186906,-0.45
186907,-0.52
