# Title: Southern Hemisphere Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-0.15
185002,-0.12
185003,-0.16
185004,-0.08
185005,-0.08
185006,0.01
185007,0.02
185008,0.02
185009,-0.05
185010,-0.14
185011,-0.04
185012,-0.02
185101,0.00
185102,-0.04
185103,-0.04
185104,-0.23
185105,-0.27
185106,-0.09
185107,0.10
185108,0.24
185109,0.15
185110,0.13
185111,0.03
185112,-0.09
185201,-0.14
185202,-0.26
185203,-0.21
185204,-0.23
185205,-0.11
185206,0.14
185207,0.07
185208,0.16
185209,0.09
185210,0.15
185211,0.21
185212,0.04
185301,-0.10
185302,-0.19
185303,-0.12
185304,-0.24
185305,-0.11
185306,0.01
185307,0.11
185308,0.05
185309,0.00
185310,-0.06
185311,-0.09
185312,-0.21
185401,-0.15
185402,-0.18
185403,-0.08
185404,-0.17
185405,-0.07
185406,-0.03
185407,-0.08
185408,-0.14
185409,-0.08
185410,-0.05
185411,-0.15
185412,-0.13
185501,-0.15
185502,-0.13
185503,-0.14
185504,-0.21
185505,-0.12
185506,-0.07
185507,-0.08
185508,-0.01
185509,0.00
185510,0.01
185511,-0.04
185512,-0.03
185601,0.00
185602,-0.05
185603,-0.09
185604,-0.18
185605,-0.21
185606,0.02
185607,-0.05
185608,-0.05
185609,-0.13
185610,-0.23
185611,-0.15
185612,-0.22
185701,-0.23
185702,-0.36
185703,-0.29
185704,-0.19
185705,-0.28
185706,-0.11
185707,-0.11
185708,-0.08
185709,-0.07
185710,-0.07
185711,-0.09
185712,-0.14
185801,-0.15
185802,-0.21
185803,-0.07
185804,-0.19
185805,-0.24
185806,-0.03
185807,-0.01
185808,0.05
185809,0.01
185810,-0.09
185811,-0.13
185812,-0.16
185901,-0.15
185902,-0.09
185903,-0.14
185904,-0.17
185905,-0.01
185906,-0.08
185907,-0.09
185908,-0.02
185909,-0.09
185910,-0.05
185911,-0.08
185912,0.18
186001,0.03
186002,0.01
186003,0.02
186004,-0.14
186005,-0.26
186006,-0.12
186007,-0.04
186008,0.05
186009,-0.12
186010,-0.16
186011,-0.29
186012,-0.31
186101,-0.38
186102,-0.34
186103,-0.27
186104,-0.27
186105,-0.31
186106,-0.22
186107,-0.22
186108,-0.11
186109,-0.05
186110,-0.11
186111,-0.08
186112,-0.11
186201,-0.20
186202,-0.26
186203,-0.10
186204,-0.11
186205,-0.21
186206,-0.06
186207,-0.17
186208,-0.24
186209,-0.20
186210,-0.11
186211,-0.02
186212,-0.12
186301,-0.13
186302,-0.14
186303,-0.13
186304,-0.19
186305,-0.24
186306,-0.13
186307,-0.17
186308,-0.16
186309,-0.21
186310,-0.15
186311,-0.22
186312,-0.07
186401,-0.15
186402,-0.17
186403,-0.14
186404,-0.13
186405,-0.17
186406,-0.14
186407,-0.17
186408,-0.18
186409,-0.15
186410,-0.15
186411,-0.03
186412,-0.02
186501,0.00
186502,-0.05
186503,-0.01
186504,-0.08
186505,-0.13
186506,-0.02
186507,0.01
186508,0.04
186509,-0.03
186510,-0.11
186511,-0.06
186512,0.01
186601,-0.06
186602,-0.04
186603,0.00
186604,0.00
186605,-0.11
186606,-0.08
186607,0.00
186608,-0.11
186609,-0.14
186610,0.00
186611,-0.12
186612,-0.19
186701,-0.11
186702,-0.12
186703,-0.08
186704,-0.13
186705,-0.08
186706,-0.09
186707,-0.14
186708,-0.03
186709,0.06
186710,0.00
186711,-0.16
186712,-0.17
186801,-0.21
186802,-0.17
186803,-0.01
186804,-0.09
186805,-0.15
186806,-0.04
186807,-0.10
186808,0.04
186809,0.03
186810,0.10
186811,-0.10
186812,0.01
186901,0.00
186902,-0.02
186903,-0.01
186904,-0.08
186905,-0.05
186906,-0.11
186907,-0.17
186908,-0.29
186909,-0.24
186910,-0.17
186911,-0.03
186912,0.01
187001,0.01
187002,-0.15
187003,-0.13
187004,-0.15
187005,-0.20
187006,-0.13
187007,-0.09
187008,0.02
187009,-0.20
187010,-0.22
187011,-0.18
187012,-0.12
187101,-0.10
187102,-0.05
187103,-0.08
187104,-0.05
187105,-0.12
187106,0.01
187107,0.00
187108,-0.09
187109,-0.15
187110,-0.17
187111,-0.02
187112,0.02
187201,-0.08
187202,-0.13
187203,-0.08
187204,-0.22
187205,-0.19
187206,-0.02
187207,-0.13
187208,-0.01
187209,-0.08
187210,-0.08
187211,-0.11
187212,-0.11
187301,-0.08
187302,-0.16
187303,-0.31
187304,-0.30
187305,-0.31
187306,-0.10
187307,-0.08
187308,-0.01
187309,0.01
187310,-0.14
187311,-0.23
187312,-0.23
187401,-0.20
187402,-0.20
187403,-0.28
187404,-0.26
187405,-0.53
187406,-0.18
187407,-0.21
187408,-0.18
187409,-0.22
187410,-0.08
187411,-0.27
187412,-0.14
187501,-0.03
187502,-0.07
187503,-0.11
187504,-0.01
187505,-0.13
187506,-0.14
187507,-0.11
187508,-0.10
187509,-0.06
187510,-0.07
187511,-0.20
187512,-0.21
187601,-0.12
187602,-0.26
187603,-0.08
187604,-0.20
187605,-0.35
187606,-0.28
187607,-0.23
187608,-0.24
187609,-0.15
187610,-0.11
187611,-0.25
187612,-0.12
187701,-0.03
187702,0.03
187703,0.06
187704,0.01
187705,-0.08
187706,-0.01
187707,0.21
187708,0.08
187709,0.14
187710,0.23
187711,0.23
187712,0.22
187801,0.24
187802,0.24
187803,0.21
187804,0.09
187805,0.00
187806,0.08
187807,0.17
187808,0.04
187809,0.14
187810,0.09
187811,0.00
187812,-0.07
187901,-0.08
187902,-0.11
187903,-0.13
187904,-0.16
187905,-0.14
187906,-0.09
187907,-0.01
187908,0.02
187909,-0.09
187910,-0.13
187911,-0.14
187912,-0.02
188001,-0.04
188002,-0.06
188003,0.00
188004,0.00
188005,-0.14
188006,-0.16
188007,-0.18
188008,0.11
188009,-0.05
188010,-0.12
188011,-0.09
188012,-0.03
188101,-0.07
188102,-0.13
188103,0.04
188104,0.05
188105,0.13
188106,-0.01
188107,-0.07
188108,-0.05
188109,-0.06
188110,0.00
188111,-0.02
188112,0.08
188201,0.04
188202,0.05
188203,0.08
188204,0.02
188205,-0.01
188206,-0.11
188207,-0.07
188208,0.00
188209,-0.06
188210,0.04
188211,-0.07
188212,-0.09
188301,-0.07
188302,-0.17
188303,-0.14
188304,-0.08
188305,-0.05
188306,0.11
188307,-0.02
188308,-0.13
188309,-0.13
188310,-0.07
188311,-0.09
188312,-0.15
188401,-0.17
188402,-0.14
188403,-0.23
188404,-0.16
188405,-0.21
188406,-0.15
188407,-0.21
188408,-0.03
188409,-0.13
188410,-0.15
188411,-0.18
188412,-0.24
188501,-0.19
188502,-0.19
188503,-0.38
188504,-0.28
188505,-0.15
188506,-0.37
188507,-0.26
188508,-0.10
188509,-0.15
188510,-0.11
188511,-0.12
188512,-0.09
188601,-0.15
188602,-0.23
188603,-0.21
188604,-0.12
188605,-0.14
188606,-0.22
188607,-0.23
188608,-0.07
188609,-0.11
188610,-0.18
188611,-0.14
188612,-0.32
188701,-0.35
188702,-0.41
188703,-0.29
188704,-0.32
188705,-0.35
188706,-0.26
188707,-0.22
188708,-0.11
188709,-0.20
188710,-0.22
188711,-0.24
188712,-0.22
188801,-0.20
188802,-0.15
188803,-0.20
188804,-0.18
188805,-0.15
188806,-0.16
188807,-0.09
188808,-0.03
188809,-0.09
188810,0.10
188811,0.14
188812,0.11
188901,0.09
188902,0.09
188903,0.16
188904,0.08
188905,0.13
188906,-0.01
188907,-0.12
188908,-0.14
188909,-0.08
188910,-0.01
188911,-0.05
188912,0.00
189001,-0.22
189002,-0.31
189003,-0.33
189004,-0.39
189005,-0.23
189006,-0.27
189007,-0.27
189008,-0.24
189009,-0.29
189010,-0.32
189011,-0.20
189012,-0.14
189101,-0.21
189102,-0.31
189103,-0.19
189104,-0.18
189105,-0.03
189106,-0.09
189107,-0.21
189108,-0.23
189109,-0.25
189110,-0.16
189111,-0.11
189112,-0.09
189201,-0.08
189202,-0.06
189203,-0.12
189204,-0.16
189205,-0.21
189206,-0.20
189207,-0.29
189208,-0.22
189209,-0.14
189210,-0.05
189211,-0.02
189212,-0.16
189301,-0.16
189302,-0.14
189303,-0.18
189304,-0.28
189305,-0.22
189306,-0.16
189307,-0.22
189308,-0.17
189309,-0.17
189310,-0.09
189311,-0.10
189312,-0.14
189401,-0.22
189402,-0.25
189403,-0.24
189404,-0.32
189405,-0.26
189406,-0.33
189407,-0.21
189408,-0.15
189409,-0.28
189410,-0.13
189411,-0.07
189412,-0.11
189501,-0.10
189502,-0.17
189503,-0.15
189504,-0.18
189505,-0.20
189506,-0.11
189507,-0.08
189508,-0.02
189509,-0.16
189510,-0.12
189511,-0.12
189512,-0.01
189601,-0.04
189602,-0.03
189603,0.03
189604,0.04
189605,-0.10
189606,-0.07
189607,-0.08
189608,0.01
189609,-0.04
189610,0.06
189611,0.12
189612,0.15
189701,0.03
189702,0.05
189703,0.08
189704,0.10
189705,-0.08
189706,-0.01
189707,-0.09
189708,-0.06
189709,-0.07
189710,-0.02
189711,-0.02
189712,-0.06
189801,-0.12
189802,-0.15
189803,-0.19
189804,-0.31
189805,-0.24
189806,-0.15
189807,-0.16
189808,-0.19
189809,-0.12
189810,-0.22
